dc_title,dcterms_alternative,dc_creator,dc_subject,dc_description,dc_publisher,dc_contributor,dc:type,dc:format,dc:identifier,dc:source,dc:language,dcterms:isPartOf,dcterms:spatial,dcterms:temporal,dc:rights,SLQ Digitool viewer,1000_pixel_jpg and 150_pixel_jpg images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love's reverie song,,"Brier, Percy,1885-1970.",Songs (Medium voice) with piano Songs with piano,'For medium voice: B to E' -- Cover.,State Library of Queensland,"Coungeau, E.(Emily),1860-1936",image,Digital format: image/jpeg Original format: 1 score (5 p.) ; 36 cm.,,"Copied and digitised from Love's reverie song / words by E. Coungeau ; music by Percy Brier. [Brisbane, Qld. ?] : [s.n]., [191-?]. Item is held by State Library of Queensland.",,Accession number: Bib 759643 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1206 ,,191-?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1206,Love's reverie song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402396&custom_att_3=NLA,Love's reverie song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402400&custom_att_3=NLA,Love's reverie song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402404&custom_att_3=NLA,Love's reverie song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402408&custom_att_3=NLA,Love's reverie song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402412&custom_att_3=NLA,Love's reverie song - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402416&custom_att_3=NLA,Love's reverie song - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402420&custom_att_3=NLA,Love's reverie song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402397,106406-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402401,106406-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402405,106406-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402409,106406-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402413,106406-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402417,106406-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402421,,,,,,,,,,,,,,,,,,,,
Hinkler one step,,"Grenfell, Ernest H.","Songs with piano. Hinkler, Bert,--1892-1933 Air pilots--Queensland","'One step, chorus song'. --cover 'Souvenir copy' and 'Proceeds devoted to Ballarat Orphanage'.",State Library of Queensland,"Furlong, Peter J.",image,Digital format: image/jpeg Original format: 1 score [1] p. ; 32 cm.,,"Copied and digitised from Hinkler one step. / words by Peter J. Furlong ; music by Ernest H. Grenfell. Ballarat, Vic. : Tulloch & King, (Music Printers), [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 759644 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1210 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1210,Hinkler one step. - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402426&custom_att_3=NLA,Hinkler one step. - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402430&custom_att_3=NLA,Hinkler one step. thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402427,106407-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chelmsford march,,"Lucas, Eunice S.",Piano music Marches (Piano),,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (4) p. ; 35 cm.,,"Copied and digitised from The Chelmsford march composed by Eunice S. Lucas. Brisbane, Qld. : W. H. Paling & Co., [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 759645 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1203 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1203,The Chelmsford march - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402436&custom_att_3=NLA,The Chelmsford march - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402440&custom_att_3=NLA,The Chelmsford march - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402444&custom_att_3=NLA,The Chelmsford march - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402448&custom_att_3=NLA,The Chelmsford march - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402452&custom_att_3=NLA,The Chelmsford march thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402437,106408-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402441,106408-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402445,106408-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402449,106408-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402453,,,,,,,,,,,,,,,,,,,,,,,,
Bird Australian song waltz,,"Rankin, George.",Birdsongs--Australia Piano music,"Features Currawong, Magpie and Peewee",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (13 p.) ; 31 cm.,,"Copied and digitised from Bird Australian song waltz / George Rankin. Queensland : George Rankin, 1925. Item is held by State Library of Queensland.",,Accession number: Bib 759646 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1215 ,,1925,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1215,Bird Australian song waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402458&custom_att_3=NLA,Bird Australian song waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402462&custom_att_3=NLA,Bird Australian song waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402466&custom_att_3=NLA,Bird Australian song waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402470&custom_att_3=NLA,Bird Australian song waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402474&custom_att_3=NLA,Bird Australian song waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402478&custom_att_3=NLA,Bird Australian song waltz - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402482&custom_att_3=NLA,Bird Australian song waltz - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402486&custom_att_3=NLA,Bird Australian song waltz - Page 9 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402490&custom_att_3=NLA,Bird Australian song waltz - Page 10 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402494&custom_att_3=NLA,Bird Australian song waltz - Page 11 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402498&custom_att_3=NLA,Bird Australian song waltz - Page 12 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402502&custom_att_3=NLA,Bird Australian song waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402459,106409-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402463,106409-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402467,106409-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402471,106409-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402475,106409-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402479,106409-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402483,106409-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402487,106409-s009 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402491,106409-s010 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402495,106409-s011 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402499,106409-s012 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402503,,,,,,,,,,
La Cuna (Cradle song),,"Pares, Luis Amadeo,b. 1893.",Songs with piano Songs (Medium voice) with piano,'Originally a violin solo'. --cover. Key C Medium voice. 'To Paquita'--cover caption.,State Library of Queensland,"Neville, C. A.",image,Digital format: image/jpeg Original format: 1 score [3] p. ; 30 cm.,,"Copied and digitised from La Cuna (Cradle song) music by L. A. Pares ; words by C. A. Neville. Brisbane, Qld. : Luis A. Pares, 1924. Item is held by State Library of Queensland.",,Accession number: Bib 759649 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1177 ,,1924,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1177,La Cuna (Cradle song) - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402508&custom_att_3=NLA,La Cuna (Cradle song) - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402512&custom_att_3=NLA,La Cuna (Cradle song) - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402516&custom_att_3=NLA,La Cuna (Cradle song) - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402520&custom_att_3=NLA,La Cuna (Cradle song) thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402509,106412-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402513,106412-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402517,106412-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402521,,,,,,,,,,,,,,,,,,,,,,,,,,
Loved & lost song,,"Isbell, Reginald.",Songs with piano,'Dedicated to Mrs. Gilbert Wilson'. --cover caption. Cover title.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (5 p.) ; 35 cm.,,"Copied and digitised from Loved & lost song / composed by Reginald Isbell. Brisbane, Qld. : H. J. Pollard & Co., [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 759651 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1207 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1207,Loved & lost song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402526&custom_att_3=NLA,Loved & lost song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402530&custom_att_3=NLA,Loved & lost song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402534&custom_att_3=NLA,Loved & lost song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402538&custom_att_3=NLA,Loved & lost song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402542&custom_att_3=NLA,Loved & lost song - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402546&custom_att_3=NLA,Loved & lost song - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402550&custom_att_3=NLA,Loved & lost song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402527,106414-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402531,106414-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402535,106414-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402539,106414-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402543,106414-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402547,106414-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402551,,,,,,,,,,,,,,,,,,,,
The call to youth,,"Jordan, Ernest R. B.,1885-ca. 1942","Part-songs, Sacred Part-songs, English Choruses, Sacred (Unison) with piano Choruses, Sacred (Unison) with organ","'Dedicated to St. Paul's Presbyterian Church Choir, of Brisbane'. --caption. 'Chorus hymn. For voces in unison'. --cover.",State Library of Queensland,"Sinclair, John",image,Digital format: image/jpeg Original format: 1 score [2] p. ; 26 cm.,,"Copied and digitised from The call to youth words by Rev. John Sinclair ; music by Ernest R. B. Jordan. Sydney, N.S.W. : W.H. Plaing & Co., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 759652 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1211 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1211,The call to youth - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402556&custom_att_3=NLA,The call to youth - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402560&custom_att_3=NLA,The call to youth - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402568&custom_att_3=NLA,The call to youth - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402564&custom_att_3=NLA,The call to youth thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402557,106416-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402561,106416-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402569,106416-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402565,,,,,,,,,,,,,,,,,,,,,,,,,,
The Day of victory song,,"Gollmick, Ernest.","Songs with piano World War, 1914-1918--Songs and music. Armistice Day--Songs and music","'In commemoration of the signing of the Armistice, 11th November, 1918'.",State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 37 cm.,,"Copied and digitised from The Day of victory song / words by E. T. Shorley ; music by Ernest Gollmick. Rockhampton, Qld. : Printed by Record Printing Company, [1918?] Item is held by State Library of Queensland.",,Accession number: Bib 759653 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1212 ,,1918?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1212,The Day of victory song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402574&custom_att_3=NLA,The Day of victory song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402578&custom_att_3=NLA,The Day of victory song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402582&custom_att_3=NLA,The Day of victory song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402586&custom_att_3=NLA,The Day of victory song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402590&custom_att_3=NLA,The Day of victory song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402575,106417-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402579,106417-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402583,106417-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402587,106417-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402591,,,,,,,,,,,,,,,,,,,,,,,,
The Queensland waltz,,"Young, John",Songs with piano,'The Queensland waltz (and words) by John Young (Ex. Cathedral Org'ist)'--cover. Cover title.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (6) p. ; 36 cm.,,"Copied and digitised from The Queensland waltz by John Young Brisbane, Qld. : Queensland Piano & Music Warehouse Company, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 759654 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1216 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1216,The Queensland waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402596&custom_att_3=NLA,The Queensland waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402600&custom_att_3=NLA,The Queensland waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402604&custom_att_3=NLA,The Queensland waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402608&custom_att_3=NLA,The Queensland waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402612&custom_att_3=NLA,The Queensland waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402616&custom_att_3=NLA,The Queensland waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402597,106418-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402601,106418-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402605,106418-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402609,106418-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402613,106418-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402617,,,,,,,,,,,,,,,,,,,,,,
Bring the girls along the yachtsman's song : double chorus song and fox trot,,"Middleton, Harold.",Songs with piano,"Features a photograph of a sailing skiff (possibly 18 or 22 footer ), sailing off Manly, Brisbane.",State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score [3] p. ; 33 cm.,,"Copied and digitised from Bring the girls along the yachtsman's song : double chorus song and fox trot / words by E.T. Shorley ; music by H. Middleton. [Brisbane, Qld.] : E.T. Shorley, [192-?] Item is held by State Library of Queensland.",,Accession number: Bib 759655 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1178 ,"Manly, Queensland; -27.454266,153.185335",192-?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1178,Bring the girls along the yachtsman's song : double chorus song and fox trot - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402622&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402626&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402630&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402634&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402638&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402642&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402646&custom_att_3=NLA,Bring the girls along the yachtsman's song : double chorus song and fox trot thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402623,106419-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402627,106419-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402631,106419-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402635,106419-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402639,106419-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402643,106419-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402647,,,,,,,,,,,,,,,,,,,,
The Women of the West,,"Edkins, E. M.(Edwina M.)",Women--Queensland--Songs and music,'Dedicated to women hemmed in by drought'. -- dedication in blue biro on front cover.,State Library of Queensland,"Evans, G. E.",image,Digital format: image/jpeg Original format: 1 score (7 p.) ; 33 cm.,,"Copied and digitised from The Women of the West words by G. E. Evans ; music by E. M. Edkins. [S. l]. : [Mount Cornish?], [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 763683 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1179 ,"Queensland, Western",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1179,The Women of the West - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402660&custom_att_3=NLA,First page of the score of The Women of the West 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402652&custom_att_3=NLA,The Women of the West - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402656&custom_att_3=NLA,The Women of the West - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402664&custom_att_3=NLA,The Women of the West - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402668&custom_att_3=NLA,The Women of the West - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402672&custom_att_3=NLA,The Women of the West - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402676&custom_att_3=NLA,First page of the score of The Women of the West thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402653,113318-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402657,113318-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402661,113318-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402665,113318-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402669,113318-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402673,113318-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402677,,,,,,,,,,,,,,,,,,,,
Coronation waltz introducing national anthem.,,"Edkins, E. M.(Edwina M.)","Piano music World War, 1939-1945--Queensland Soldiers--Queensland",'Dedicated to the memory of the Queensland soldiers.' -- caption.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (5 p.) ; 33 cm.,,"Copied and digitised from Coronation waltz introducing national anthem. / E. M. Edkins. [S. l]. : [Mount Cornish?], [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 763684 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1180 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1180,Coronation waltz introducing national anthem. - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402697&custom_att_3=NLA,First page of the score of Coronation waltz introducing national anthem. 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402681&custom_att_3=NLA,Coronation waltz introducing national anthem. - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402685&custom_att_3=NLA,Coronation waltz introducing national anthem. - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402689&custom_att_3=NLA,Coronation waltz introducing national anthem. - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402693&custom_att_3=NLA,113319-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402694,113319-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402698,First page of the score of Coronation waltz introducing national anthem. thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402682,113319-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402686,113319-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402690,,,,,,,,,,,,,,,,,,,,,,,,
